"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.740,2.60,5.88,-182.50,0.740,0.00,-3.49,124.80,0.740,1.15,-17.79,274.46,0.740,3.29,20.52,-775.96,0.740,0.00,0.00,27.59,0.740,1.87,0.27,-19.40,0.740,0.13,-2.11,-12.60,0.740,3.15,,,0.740,2.61,12.46,-413.21,0.740,0.14,-0.31,6.22
0.760,3.30,-13.90,-150.95,0.760,0.00,-1.75,420.43,0.760,1.16,0.18,395.84,0.760,1.06,-6.27,-690.57,0.760,0.00,0.00,9.28,0.760,1.89,2.09,-141.57,0.760,0.00,-2.13,199.76,,,,,0.760,2.61,-8.21,-896.21,0.760,0.15,-0.27,52.30
0.780,0.93,0.02,-8.26,0.780,0.00,14.66,532.69,0.780,1.15,0.00,139.35,0.780,2.09,-17.52,-215.60,0.780,0.00,0.00,0.00,0.780,1.89,-4.20,-241.30,0.780,0.00,-1.09,579.31,,,,,0.780,4.10,-41.33,-757.90,0.780,0.13,-0.40,154.94
0.800,2.60,1.64,-226.85,0.800,0.00,29.52,250.16,0.800,1.16,-0.37,-9.92,0.800,1.13,-8.61,290.44,0.800,0.00,0.00,0.00,0.800,2.11,-12.34,-102.52,0.800,0.00,21.75,752.43,,,,,0.800,0.13,-53.73,139.88,0.800,0.12,5.81,208.93
0.820,3.30,-10.65,-418.99,0.820,1.76,29.16,-262.17,0.820,1.15,-0.52,-4.12,0.820,1.11,-3.02,412.52,0.820,0.00,0.00,0.00,0.820,1.15,-14.25,,0.820,0.00,43.53,372.03,,,,,0.820,0.13,-32.96,794.85,0.820,0.11,12.20,106.55
0.840,1.12,-30.45,-78.69,0.840,1.78,13.77,-463.06,0.840,1.12,-0.49,0.20,0.840,1.00,14.08,129.47,0.840,0.00,0.00,0.00,0.840,1.14,-0.16,,0.840,2.61,43.55,-363.73,,,,,0.840,0.13,0.20,723.09,0.840,0.86,12.21,-101.65
0.860,1.12,-18.17,351.50,0.860,1.72,-1.05,-401.84,0.860,1.13,-0.37,-1.79,0.860,1.86,9.30,-266.46,0.860,0.00,0.00,0.00,0.860,1.14,,,0.860,2.61,21.76,-706.71,,,,,0.860,0.14,0.11,271.68,0.860,0.85,6.00,-205.44
0.880,1.12,-0.28,457.62,0.880,1.70,4.16,-422.04,0.880,1.12,-0.49,-4.95,0.880,2.08,-5.39,-409.43,0.880,0.00,0.00,0.00,,,,,0.880,2.61,-0.12,-556.06,,,,,0.880,0.14,-0.04,-4.43,0.880,0.85,-0.18,-152.34
0.900,1.12,1.37,,0.900,1.72,-9.45,-540.82,0.900,1.11,-0.73,-4.83,0.900,1.15,-15.53,-135.54,0.900,0.00,0.00,0.00,,,,,0.900,2.61,2.40,-317.50,,,,,0.900,0.13,-0.12,-1.92,0.900,0.85,-0.07,-48.86
0.920,1.09,4.93,,0.920,2.28,-28.47,-391.62,0.920,1.09,-0.72,-1.80,0.920,1.06,-10.23,145.36,0.920,0.00,0.00,0.00,,,,,0.920,2.60,-3.82,-251.28,,,,,0.920,0.13,-0.10,,0.920,0.85,-0.01,1.19
0.940,1.32,,,0.940,0.00,-33.32,226.83,0.940,1.07,-0.72,-0.39,0.940,1.01,-2.13,193.84,0.940,0.00,0.00,11.42,,,,,0.940,2.91,-12.65,-116.10,,,,,0.940,0.13,-0.06,,0.940,0.85,-0.04,-0.48
,,,,0.960,0.00,-18.97,718.88,0.960,1.06,-0.72,-1.38,0.960,0.99,-1.34,82.77,0.960,0.00,0.00,34.36,,,,,0.960,1.85,-15.23,,,,,,0.960,0.13,,,0.960,0.85,-0.07,0.05
,,,,0.980,0.00,8.27,702.88,0.980,1.05,-0.78,-1.68,0.980,0.97,-1.15,7.95,0.980,0.00,1.37,45.91,,,,,0.980,1.84,-0.12,,,,,,,,,,0.980,0.84,-0.07,1.72
,,,,1.000,0.00,16.21,282.59,1.000,1.03,-0.82,-0.71,1.000,0.94,-1.27,0.31,1.000,0.00,2.75,22.26,,,,,1.000,1.84,,,,,,,,,,,1.000,0.84,0.03,2.14
,,,,1.020,0.99,15.85,-151.77,1.020,1.01,-0.81,,1.020,0.92,-1.24,0.90,1.020,0.16,2.76,-25.86,,,,,,,,,,,,,,,,,1.020,0.84,0.07,0.54
,,,,1.040,0.95,7.36,-289.10,1.040,1.00,-0.77,,1.040,0.88,-1.21,,1.040,0.17,1.29,-51.55,,,,,,,,,,,,,,,,,1.040,0.85,0.05,-1.93
,,,,1.060,0.95,-1.09,-222.68,1.060,0.98,,,1.060,0.88,-1.10,,1.060,0.16,-0.26,-40.93,,,,,,,,,,,,,,,,,1.060,0.84,-0.02,-3.30
,,,,1.080,0.93,-1.54,-83.63,,,,,1.080,0.84,,,1.080,0.15,-0.41,-15.71,,,,,,,,,,,,,,,,,1.080,0.85,-0.11,-11.07
,,,,1.100,0.89,-1.97,-1.35,,,,,,,,,1.100,0.14,-0.46,-0.24,,,,,,,,,,,,,,,,,1.100,0.84,-0.17,55.25
,,,,1.120,0.83,-1.80,,,,,,,,,,1.120,0.14,-0.41,3.52,,,,,,,,,,,,,,,,,1.120,0.84,-1.14,210.95
,,,,1.140,0.81,-1.00,,,,,,,,,,1.140,0.13,-0.30,5.28,,,,,,,,,,,,,,,,,1.140,0.83,7.64,309.54
,,,,1.160,0.79,,,,,,,,,,,1.160,0.12,-0.15,40.77,,,,,,,,,,,,,,,,,1.160,0.72,17.40,180.94
,,,,,,,,,,,,,,,,1.180,0.12,-0.08,147.11,,,,,,,,,,,,,,,,,1.180,1.88,18.44,-126.57
,,,,,,,,,,,,,,,,1.200,0.12,4.27,,,,,,,,,,,,,,,,,,1.200,1.88,9.78,-299.58
,,,,,,,,,,,,,,,,1.220,0.12,12.94,,,,,,,,,,,,,,,,,,1.220,1.88,0.07,-239.29
,,,,,,,,,,,,,,,,1.240,0.64,,,,,,,,,,,,,,,,,,,1.240,1.89,-0.18,-86.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.260,1.88,-0.32,10.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.280,1.86,-0.21,-6.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.300,1.87,1.34,-86.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.320,1.87,-2.65,-214.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.340,2.03,-8.20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.360,1.38,-16.45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.380,1.37,,
