"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.720,1.17,-1.05,10.64,0.720,1.04,-0.84,-0.56,0.720,0.89,-1.37,2.27,0.720,0.92,-0.81,-0.29,0.720,0.69,-0.94,-0.47,0.720,0.40,-1.01,-0.38,0.720,0.83,-0.75,-2.32,0.720,0.64,-0.91,-2.15,0.720,0.93,-0.78,-0.74,0.720,0.54,-0.96,-0.33
0.740,1.14,-1.19,-0.96,0.740,1.02,-0.85,-0.40,0.740,0.87,-0.96,6.46,0.740,0.90,-0.82,-0.03,0.740,0.67,-0.95,-0.34,0.740,0.38,-1.04,-0.67,0.740,0.82,-0.84,-3.90,0.740,0.63,-0.92,-1.01,0.740,0.91,-0.81,-1.21,0.740,0.52,-0.95,0.00
0.760,1.12,-1.08,3.34,0.760,1.00,-0.86,-0.35,0.760,0.85,-0.95,3.45,0.760,0.88,-0.80,-0.27,0.760,0.65,-0.95,-0.15,0.760,0.36,-1.05,-0.32,0.760,0.80,-0.96,-2.45,0.760,0.61,-0.93,-0.20,0.760,0.90,-0.84,-0.79,0.760,0.50,-0.95,0.11
0.780,1.10,-0.94,3.72,0.780,0.99,-0.85,-0.66,0.780,0.83,-0.95,-0.26,0.780,0.87,-0.81,-0.74,0.780,0.64,-0.95,-0.09,0.780,0.34,-1.04,0.04,0.780,0.78,-0.99,0.36,0.780,0.59,-0.93,-0.06,0.780,0.88,-0.84,-0.06,0.780,0.48,-0.95,-0.05
0.800,1.08,-0.90,1.19,0.800,0.97,-0.88,-1.36,0.800,0.82,-0.96,-0.54,0.800,0.85,-0.85,-0.73,0.800,0.62,-0.96,-0.17,0.800,0.32,-1.04,-0.01,0.800,0.75,-0.89,1.12,0.800,0.57,-0.93,-0.19,0.800,0.86,-0.85,0.47,0.800,0.46,-0.95,-0.21
0.820,1.06,-0.92,-0.68,0.820,0.95,-0.91,-1.56,0.820,0.80,-0.98,-0.56,0.820,0.84,-0.86,-0.23,0.820,0.60,-0.96,-0.32,0.820,0.30,-1.05,-0.21,0.820,0.74,-0.86,-1.14,0.820,0.55,-0.94,-0.41,0.820,0.84,-0.82,0.26,0.820,0.44,-0.96,-0.32
0.840,1.05,-0.96,-0.78,0.840,0.93,-0.96,-0.67,0.840,0.78,-0.99,-0.43,0.840,0.82,-0.84,-0.12,0.840,0.58,-0.97,-0.49,0.840,0.27,-1.05,-0.25,0.840,0.73,-0.95,-3.18,0.840,0.53,-0.95,-0.54,0.840,0.83,-0.81,-0.81,0.840,0.42,-0.96,-0.45
0.860,1.02,-0.97,-0.02,0.860,0.91,-0.95,0.31,0.860,0.76,-0.99,-0.01,0.860,0.80,-0.85,-0.57,0.860,0.56,-0.98,-0.56,0.860,0.25,-1.06,-0.23,0.860,0.70,-1.06,-2.06,0.860,0.51,-0.96,-0.73,0.860,0.81,-0.85,-1.90,0.860,0.40,-0.97,-0.59
0.880,1.01,-0.95,0.37,0.880,0.89,-0.92,0.49,0.880,0.74,-1.00,0.26,0.880,0.79,-0.88,-0.87,0.880,0.54,-0.99,-0.49,0.880,0.23,-1.06,-0.21,0.880,0.68,-1.07,0.44,0.880,0.49,-0.97,-1.03,0.880,0.80,-0.91,-1.70,0.880,0.38,-0.99,-0.63
0.900,0.99,-0.93,0.00,0.900,0.88,-0.92,-0.30,0.900,0.72,-0.96,-0.38,0.900,0.77,-0.89,-0.71,0.900,0.52,-1.00,-0.37,0.900,0.21,-1.07,-0.22,0.900,0.66,-0.99,1.75,0.900,0.47,-1.00,-0.89,0.900,0.77,-0.94,-0.54,0.900,0.36,-1.00,-0.48
0.920,0.97,-0.95,-0.67,0.920,0.86,-0.94,-0.96,0.920,0.70,-0.98,-1.73,0.920,0.75,-0.90,-0.50,0.920,0.50,-1.01,-0.31,0.920,0.19,-1.07,1.10,0.920,0.64,-0.97,1.36,0.920,0.45,-1.03,0.01,0.920,0.76,-0.92,-0.08,0.920,0.34,-1.01,-0.20
0.940,0.95,-0.97,-0.94,0.940,0.84,-0.97,-0.93,0.940,0.68,-1.05,-2.28,0.940,0.73,-0.91,-0.44,0.940,0.48,-1.01,-0.29,0.940,0.17,-1.08,3.84,0.940,0.62,-0.96,0.54,0.940,0.43,-1.01,1.00,0.940,0.74,-0.91,-0.83,0.940,0.32,-1.01,0.04
0.960,0.93,-0.99,-0.70,0.960,0.82,-0.98,-0.62,0.960,0.65,-1.12,-0.52,0.960,0.71,-0.92,-0.38,0.960,0.46,-1.02,-0.25,0.960,0.15,-0.92,175.31,0.960,0.60,-0.94,-0.05,0.960,0.41,-0.97,1.08,0.960,0.72,-0.96,-1.44,0.960,0.30,-1.01,0.19
0.980,0.91,-1.00,-0.32,0.980,0.80,-0.99,-0.38,0.980,0.63,-1.10,1.43,0.980,0.69,-0.92,-0.34,0.980,0.44,-1.02,-0.24,0.980,0.12,-0.75,346.10,0.980,0.58,-0.95,-0.73,0.980,0.39,-0.95,0.41,0.980,0.70,-1.00,-0.96,0.980,0.28,-1.00,0.28
1.000,0.89,-1.00,-0.08,1.000,0.78,-1.00,-0.42,1.000,0.61,-1.00,1.35,1.000,0.68,-0.93,-0.55,1.000,0.42,-1.03,-0.46,1.000,0.12,19.65,302.33,1.000,0.56,-0.98,-0.81,1.000,0.37,-0.96,0.00,1.000,0.68,-1.00,-0.15,1.000,0.26,-0.99,0.52
1.020,0.87,-1.00,0.06,1.020,0.76,-1.00,-0.24,1.020,0.59,-1.00,-0.54,1.020,0.66,-0.94,-0.91,1.020,0.40,-1.04,-0.83,1.020,0.10,19.89,44.30,1.020,0.54,-1.00,-0.22,1.020,0.35,-0.96,0.05,1.020,0.66,-0.98,-0.16,1.020,0.24,-0.99,0.91
1.040,0.85,-1.00,0.11,1.040,0.74,-1.01,0.33,1.040,0.57,-1.05,-1.90,1.040,0.64,-0.97,-1.14,1.040,0.38,-1.06,-0.86,1.040,2.53,14.72,-169.86,1.040,0.52,-0.99,0.12,1.040,0.34,-0.95,0.18,1.040,0.64,-0.99,-0.56,1.040,0.22,-0.96,1.77
1.060,0.83,-0.99,-0.11,1.060,0.72,-1.00,0.58,1.060,0.55,-1.11,-1.28,1.060,0.62,-0.99,-0.80,1.060,0.35,-1.08,-0.20,1.060,0.11,9.49,-82.99,1.060,0.50,-0.97,-0.37,1.060,0.32,-0.95,0.40,1.060,0.62,-1.02,-0.58,1.060,0.20,-0.93,2.69
1.080,0.81,-1.00,-0.57,1.080,0.70,-0.96,-0.33,1.080,0.53,-1.12,-0.13,1.080,0.60,-1.01,0.14,1.080,0.33,-1.08,0.88,1.080,1.88,9.66,-78.92,1.080,0.49,-1.00,-0.88,1.080,0.30,-0.95,2.24,1.080,0.60,-1.03,-0.24,1.080,0.19,-0.84,3.40
1.100,0.79,-1.02,-0.87,1.100,0.68,-0.98,-1.84,1.100,0.51,-1.09,0.51,1.100,0.58,-0.99,0.97,1.100,0.31,-1.04,1.38,1.100,1.88,14.99,-167.27,1.100,0.47,-1.04,-0.28,1.100,0.28,-0.91,2.81,1.100,0.58,-1.02,-0.01,1.100,0.17,-0.78,4.92
1.120,0.77,-1.04,-0.56,1.120,0.66,-1.07,-2.12,1.120,0.48,-1.09,0.45,1.120,0.56,-0.95,1.04,1.120,0.29,-1.00,0.83,1.120,1.91,-0.25,-216.56,1.120,0.44,-1.03,0.86,1.120,0.26,-0.72,158.88,1.120,0.56,-1.02,-0.14,1.120,0.16,-0.70,6.03
1.140,0.75,-1.05,0.04,1.140,0.64,-1.12,-0.45,1.140,0.46,-1.08,0.20,1.140,0.54,-0.94,0.23,1.140,0.27,-1.00,-0.29,1.140,1.88,-0.67,-120.66,1.140,0.42,-0.98,1.11,1.140,0.24,-0.85,317.09,1.140,0.54,-1.03,-0.36,1.140,0.14,-0.48,89.57
1.160,0.73,-1.03,0.31,1.160,0.61,-1.09,1.24,1.160,0.44,-1.08,0.07,1.160,0.52,-0.94,-0.79,1.160,0.25,-1.02,-0.90,1.160,1.86,-0.67,-7.56,1.160,0.41,-0.96,0.36,1.160,0.25,18.05,164.03,1.160,0.52,-1.04,-0.43,1.160,0.13,-0.42,254.56
1.180,0.71,-1.02,0.34,1.180,0.60,-1.02,1.02,1.180,0.42,-1.08,-0.05,1.180,0.50,-0.98,-1.41,1.180,0.23,-1.05,-0.70,1.180,1.85,0.93,-79.18,1.180,0.39,-0.97,-0.37,1.180,0.19,18.37,-305.50,1.180,0.50,-1.05,-0.27,1.180,0.14,9.69,335.79
1.200,0.69,-1.03,0.61,1.200,0.57,-1.02,-0.47,1.200,0.40,-1.08,-0.08,1.200,0.48,-1.01,-1.39,1.200,0.21,-1.05,-0.23,1.200,1.85,-2.75,-150.93,1.200,0.37,-0.99,-0.48,1.200,2.48,-0.25,-627.26,1.200,0.48,-1.05,0.03,1.200,0.11,19.68,168.14
1.220,0.67,-1.01,0.83,1.220,0.56,-1.06,-1.33,1.220,0.38,-1.08,-0.12,1.220,0.46,-1.04,-0.75,1.220,0.19,-1.05,1.44,1.220,2.00,-8.09,-118.16,1.220,0.35,-0.99,-0.51,1.220,0.22,-19.21,-321.57,1.220,0.46,-1.05,0.27,1.220,1.32,19.72,-167.04
1.240,0.65,-0.97,0.27,1.240,0.53,-1.10,-0.63,1.240,0.35,-1.08,-0.16,1.240,0.44,-1.05,0.07,1.240,0.17,-1.05,5.70,1.240,1.39,-9.76,28.37,1.240,0.33,-1.00,-0.76,1.240,0.19,-19.65,147.67,1.240,0.43,-1.04,0.25,1.240,1.31,9.73,-335.61
1.260,0.63,-0.98,-0.81,1.260,0.51,-1.10,0.42,1.260,0.33,-1.09,-0.15,1.260,0.42,-1.03,0.46,1.260,0.15,-0.88,11.32,1.260,1.35,-6.24,130.48,1.260,0.31,-1.02,-0.88,1.260,0.17,-0.82,430.11,1.260,0.41,-1.03,0.11,1.260,1.31,-0.41,-254.25
